id,community,level,title,size
246,246,2,Community 246,11
247,247,2,Community 247,3
248,248,2,Community 248,3
249,249,2,Community 249,3
250,250,2,Community 250,5
251,251,2,Community 251,8
252,252,2,Community 252,2
253,253,2,Community 253,5
254,254,2,Community 254,2
255,255,2,Community 255,27
256,256,2,Community 256,2
257,257,2,Community 257,26
258,258,2,Community 258,3
259,259,2,Community 259,2
260,260,2,Community 260,8
261,261,2,Community 261,6
262,262,2,Community 262,9
263,263,2,Community 263,3
264,264,2,Community 264,10
265,265,2,Community 265,4
266,266,2,Community 266,3
267,267,2,Community 267,3
268,268,2,Community 268,3
269,269,2,Community 269,6
270,270,2,Community 270,2
271,271,2,Community 271,2
272,272,2,Community 272,16
273,273,2,Community 273,1
274,274,2,Community 274,6
275,275,2,Community 275,2
276,276,2,Community 276,2
277,277,2,Community 277,18
278,278,2,Community 278,6
279,279,2,Community 279,3
280,280,2,Community 280,9
281,281,2,Community 281,2
282,282,2,Community 282,1
283,283,2,Community 283,2
284,284,2,Community 284,2
285,285,2,Community 285,4
286,286,2,Community 286,5
287,287,2,Community 287,10
288,288,2,Community 288,1
289,289,2,Community 289,4
290,290,2,Community 290,2
291,291,2,Community 291,3
292,292,3,Community 292,35
293,293,3,Community 293,2
294,294,3,Community 294,22
295,295,3,Community 295,1
296,296,3,Community 296,5
297,297,3,Community 297,5
298,298,3,Community 298,2
299,299,3,Community 299,9
300,300,3,Community 300,2
301,301,3,Community 301,14
